"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"923","contusion of upper limb","contusion with intact skin surface","injury, poisoning and certain other consequences of external causes","no conversion",NA,NA
"924","contusion of lower limb and of other and unspecified sites","contusion with intact skin surface","injury, poisoning and certain other consequences of external causes","no conversion",NA,NA
"925","crushing injury of face, scalp and neck","crushing injury","injury, poisoning and certain other consequences of external causes","injuries to the neck","fuzzy by code",NA
"926","crushing injury of trunk","crushing injury","injury, poisoning and certain other consequences of external causes","injuries to the neck","fuzzy by code",NA
"927","crushing injury of upper limb","crushing injury","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","fuzzy by code",NA
"928","crushing injury of lower limb","crushing injury","injury, poisoning and certain other consequences of external causes","injuries to the knee and lower leg","fuzzy by code",NA
"929","crushing injury of multiple and unspecified sites","crushing injury","injury, poisoning and certain other consequences of external causes","injury of unspecified body region","manual by code","t14"
"930","foreign body on external eye","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"931","foreign body in ear","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"932","foreign body in nose","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"933","foreign body in pharynx and larynx","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"934","foreign body in trachea, bronchus and lung","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"935","foreign body in mouth, oesophagus and stomach","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"936","foreign body in intestine and colon","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"937","foreign body in anus and rectum","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"938","foreign body in digestive system, unspecified","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"939","foreign body in genitourinary tract","effects of foreign body entering through orifice","injury, poisoning and certain other consequences of external causes","effects of foreign body entering through natural orifice","fuzzy by subcategory",NA
"940","burn confined to eye and adnexa","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"941","burn of face, head and neck","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"942","burn of trunk","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"943","burn of upper limb, except wrist and hand","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"944","burn of wrist(s) and hand(s)","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"945","burn of lower limb(s)","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"946","burns of multiple specified sites","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"947","burn of internal organs","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"948","burns classified according to extent of body surface involved","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"949","burn, unspecified","burns","injury, poisoning and certain other consequences of external causes","burns and corrosions of external body surface, specified by site","fuzzy by subcategory",NA
"950","injury to optic nerve and pathways","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the head","manual by code","s04"
"951","injury to other cranial nerve(s)","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the head","fuzzy by code",NA
"952","spinal cord lesion without evidence of spinal bone injury","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the thorax","fuzzy by code",NA
"953","injury to nerve roots and spinal plexus","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","no conversion",NA,NA
"954","injury to other nerve(s) of trunk excluding shoulder and pelvic girdles","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","fuzzy by code",NA
"955","injury to peripheral nerve(s) of shoulder girdle and upper limb","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the shoulder and upper arm","fuzzy by code",NA
"956","injury to peripheral nerve(s) of pelvic girdle and lower limb","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injuries to the knee and lower leg","fuzzy by code",NA
"957","injury to other and unspecified nerves","injury to nerves and spinal cord","injury, poisoning and certain other consequences of external causes","injury of unspecified body region","manual by code","t14"
"958","certain early complications of trauma","certain traumatic complications and unpspecified injuries","injury, poisoning and certain other consequences of external causes","certain early complications of trauma","fuzzy by code",NA
"959","injury, other and unspecified","certain traumatic complications and unpspecified injuries","injury, poisoning and certain other consequences of external causes","injuries to the thorax","fuzzy by code",NA
"960","poisoning by antibiotics","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"961","poisoning by other anti-infectives","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"962","poisoning by hormones and synthetic substitutes","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"963","poisoning by primarily systemic agents","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"964","poisoning by agents primarily affecting blood constituents","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"965","poisoning by analgesics, antipyretics and antirheumatics","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"966","poisoning by anticonvulsants and anti-parkinsonism drugs","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"967","poisoning by sedatives and hypnotics","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"968","poisoning by other central nervous system depressants","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"969","poisoning by psychotropic agents","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"970","poisoning by central nervous system stimulants","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"971","poisoning by drugs primarily affecting the autonomic nervous system","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"972","poisoning by agents primarily affecting the cariovascular system","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"973","poisoning by agents primarily affecting the gastrointestinal system","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"974","poisoning by water, mineral and uric acid metabolism drugs","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"975","poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"976","poisoning by agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological and dental drugs","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"977","poisoning by other and unspecified drugs and medicaments","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"978","poisoning by bacterial vaccines","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"979","poisoning by other vaccines and biological substances","poisoning by drugs, medicaments and biological substances","injury, poisoning and certain other consequences of external causes","poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","fuzzy by subcategory",NA
"980","toxic effect of alcohol","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"981","toxic effect of petroleum products","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"982","toxic effect of solvents other than petroleum-based","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"983","toxic effect of corrosive aromatics, acids and caustic alkalis","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"984","toxic effect of lead and its compounds (including fumes)","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"985","toxic effect of other metals","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"986","toxic effect of carbon monoxide","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"987","toxic effect of other gases, fumes or vapours","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"988","toxic effect of noxious substances eaten as food","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"989","toxic effect of other substances, chiefly nonmedicinal as to source","toxic effects of substances chiefly nonmedical as to source","injury, poisoning and certain other consequences of external causes","toxic effects of substances chiefly nonmedicinal as to source","fuzzy by subcategory",NA
"990","effects of radiation, unspecified","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"991","effects of reduced temperature","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"992","effects of heat and light","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"993","effects of air pressure","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"994","effects of other external causes","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"995","certain adverse effects not elsewhere classified","other and unspecified effects of external causes","injury, poisoning and certain other consequences of external causes","other and unspecified effects of external causes","fuzzy by subcategory",NA
"996","complications peculiar to certain specified procedures","complications of surgical and medical care, not elsewhere classified","injury, poisoning and certain other consequences of external causes","complications of surgical and medical care, nec","fuzzy by subcategory",NA
"997","complications affecting specified body systems, not elsewhere classified","complications of surgical and medical care, not elsewhere classified","injury, poisoning and certain other consequences of external causes","complications of surgical and medical care, nec","fuzzy by subcategory",NA
"998","other complications of procedures, not elsewhere classified","complications of surgical and medical care, not elsewhere classified","injury, poisoning and certain other consequences of external causes","complications of surgical and medical care, nec","fuzzy by subcategory",NA
"999","complications of medical care, not elsewhere classified","complications of surgical and medical care, not elsewhere classified","injury, poisoning and certain other consequences of external causes","complications of surgical and medical care, nec","fuzzy by subcategory",NA
"e01","high refractive error (+/-8 dioptre or more)","additional diagnostic codes","nan","no conversion",NA,NA
"e02","change of 0.5 dioptres or > to spherical or cylinder lens.","additional diagnostic codes","nan","no conversion",NA,NA
"e03","0.5 dioptres or greater change to cylinder lens","additional diagnostic codes","nan","no conversion",NA,NA
"e04","change in axis = > cylinder lens of .5 dioptres and <20 degree","additional diagnostic codes","nan","no conversion",NA,NA
"e05","change in axis of =/> 20 degrees for a cylinder lens of 0.5 dioptre or <","additional diagnostic codes","nan","no conversion",NA,NA
"e06","10 degrees for a cylinder lens of >0.5 dioptre but not >1.0 dioptre","additional diagnostic codes","nan","no conversion",NA,NA
"e07","intraocular surgery","additional diagnostic codes","nan","no conversion",NA,NA
"e08","medications","additional diagnostic codes","nan","no conversion",NA,NA
"e09","3 degrees for a cylinder lens of more than 1.0 dioptre","additional diagnostic codes","nan","no conversion",NA,NA
"e10","previously +/- 8 d or greater, at risk of retinal detachment","additional diagnostic codes","nan","no conversion",NA,NA
"e91","'no' indicator present","additional diagnostic codes","nan","no conversion",NA,NA
"e92","indicator of ocular pathology: external","additional diagnostic codes","nan","no conversion",NA,NA
"e93","indicator of ocular pathology: internal","additional diagnostic codes","nan","no conversion",NA,NA
"e94","indicator of binocularity: phoria","additional diagnostic codes","nan","disorders of ocular muscles, binocular movement, accommodation and refraction","manual by code","h50"
"e95","indicator of binocularity: strabismus","additional diagnostic codes","nan","disorders of ocular muscles, binocular movement, accommodation and refraction","manual by code","h50"
"e96","indicator of vision: amblyopia","additional diagnostic codes","nan","visual disturbances and blindness","manual by code","h53"
"e97","indicator of refractive error: astigmatism","additional diagnostic codes","nan","disorders of ocular muscles, binocular movement, accommodation and refraction","manual by code","h52"
"e98","indicator of refractive error: hyperopia","additional diagnostic codes","nan","disorders of ocular muscles, binocular movement, accommodation and refraction","manual by code","h52"
"e99","indicator of refractive error: myopia","additional diagnostic codes","nan","disorders of ocular muscles, binocular movement, accommodation and refraction","manual by code","h52"
"v01","contact with or exposure to communicable diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v02","carrier or suspected carrier of infectious diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v03","need for prophylactic vaccination and inoculation against bacterial diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v04","need for prophylactic vaccination and inoculation against certain viral diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v05","need for other prophylactic vaccination and inoculation against single diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v06","need for prophylactic vaccination and inoculation against combinations of diseases","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v07","need for isolation and other prophylactic measures","persons with health hazards related to communicable diseases","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to communicable diseases","fuzzy by subcategory",NA
"v10","personal history of malignant neoplasm","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v11","personal history of mental disorder","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v12","personal history of certain other diseases","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v13","personal history of other diseases","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v14","personal history of allergy to medicinal agents","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v15","other personal history presenting hazards to health","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v16","family history of malignant neoplasm","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v17","family history of certain chronic disabling diseases","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v18","family history of certain other specific conditions","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v19","family history of other conditions","persons with potential health hazards related to personal and family history","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by subcategory",NA
"v20","health supervision of infant or child","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v21","constitutional states in development","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v22","normal pregnancy","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v23","supervision of high-risk pregnancy","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v24","postpartum care and examination","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v25","contraceptive management","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v26","procreative management","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v27","outcome of delivery","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v28","antenatal screening","persons encountering health services in circumstances related to reproduction and development","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","fuzzy by subcategory",NA
"v30","singleton","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v31","twin, mate live born","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z37"
"v32","twin, mate stillborn","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z37"
"v33","twin, unspecified","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z37"
"v34","other multiple, mates all live born","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v35","other multiple, mates all stillborn","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v36","other multiple, mates live- and stillborn","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v37","other multiple, unspecified","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v39","unspecified","healthy liveborn infants according to type of birth","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in circumstances related to reproduction","manual by code","z38"
"v40","mental and behavioural problems","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","manual by code","z86"
"v41","problems with special senses and other special functions","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","no conversion",NA,NA
"v42","organ or tissue replaced by transplant","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by code",NA
"v43","organ or tissue replaced by other means","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","manual by code","z94"
"v44","artificial opening status","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by code",NA
"v45","other postsurgical states","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by code",NA
"v46","other dependence on machines","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","persons with potential health hazards related to family and personal history and abbrev","fuzzy by code",NA
"v47","other problems with internal organs","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","no conversion",NA,NA
"v48","problems with head, neck and trunk","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","no conversion",NA,NA
"v49","problems with limbs and other problems","persons with conditions influencing their health status","factors influencing health status and contact with health services/codes for special purposes/other","no conversion",NA,NA
"v50","elective surgery for purposes other than remedying health states","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v51","aftercare involving the use of plastic surgery","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v52","fitting and adjustment of prosthetic device","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v53","fitting and adjustment of other device","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v54","other orthopaedic aftercare","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v55","attention to artificial openings","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v56","aftercare involving intermittent dialysis","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v57","care involving use of rehabilitation procedures","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v58","other and unspecified aftercare","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v59","donors","persons encountering health services for specific procedures and after","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by subcategory",NA
"v60","housing, household and economic circumstances","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v61","other family circumstances","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v62","other psychosocial circumstances","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v63","unavailability of other medical facilities for care","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v64","persons encountering health services for specific procedures, not carried out","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v65","other persons seeking consultation without complaint or sickness","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v66","convalescence","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v67","follow-up examination","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v68","encounters for administrative purposes","persons encountering health services in other circumstances","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services in other circumstances","fuzzy by subcategory",NA
"v70","general medical examination","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by code",NA
"v71","observation and evaluation for suspected conditions","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z03"
"v72","special investigations and examinations","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z01"
"v73","special screening examination for viral diseases","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z11"
"v74","special screening examination for bacterial and spirochaetal diseases","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z11"
"v75","special screening examination for other infectious diseases","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z11"
"v76","special screening for malignant neoplasms","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","fuzzy by code",NA
"v77","special screening for endocrine, nutritional, metabolic and immunity disorders","persons without reported diagnosis encountered during examination and investigation of individals and populations","factors influencing health status and contact with health services/codes for special purposes/other","persons encountering health services for examinations","manual by code","z13"
